Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
81947-14190,WR,Julio,Julio Jones,Jones,5.650000095367432,2,5300,TB@CAR,TB,CAR,O,Knee,,,,WR/FLEX
81947-27776,RB,Tevin,Tevin Coleman,Coleman,10.25,2,5200,KC@SF,SF,KC,,,,,,RB/FLEX
81947-61593,WR,Jauan,Jauan Jennings,Jennings,3.6000000635782876,6,5200,KC@SF,SF,KC,,,,,,WR/FLEX
81947-62628,WR,DeAndre,DeAndre Carter,Carter,5.116666793823242,6,5200,SEA@LAC,LAC,SEA,,,,,,WR/FLEX
81947-86192,WR,KJ,KJ Hamler,Hamler,3.2249999046325684,4,5200,NYJ@DEN,DEN,NYJ,,,,,,WR/FLEX
81947-52451,RB,Samaje,Samaje Perine,Perine,5,6,5200,ATL@CIN,CIN,ATL,,,,,,RB/FLEX
81947-92575,RB,Isiah,Isiah Pacheco,Pacheco,3.7999998728434243,6,5200,KC@SF,KC,SF,,,,,,RB/FLEX
81947-169776,WR,Christian,Christian Watson,Watson,4.150000095367432,4,5200,GB@WAS,GB,WAS,O,Hamstring,,,,WR/FLEX
81947-41872,TE,Evan,Evan Engram,Engram,5.799999872843425,6,5200,NYG@JAC,JAC,NYG,,,,,,TE/FLEX
81947-79979,WR,Jamal,Jamal Agnew,Agnew,4.366666793823242,6,5100,NYG@JAC,JAC,NYG,O,Knee,,,,WR/FLEX
81947-65724,RB,JaMycal,JaMycal Hasty,Hasty,3.875,4,5100,NYG@JAC,JAC,NYG,,,,,,RB/FLEX
81947-90307,TE,Daniel,Daniel Bellinger,Bellinger,7.919999694824218,5,5100,NYG@JAC,NYG,JAC,,,,,,TE/FLEX
81947-54608,RB,Jerick,Jerick McKinnon,McKinnon,5.033333460489909,6,5100,KC@SF,KC,SF,,,,,,RB/FLEX
81947-112062,WR,Skyy,Skyy Moore,Moore,1.8333333333333333,6,5100,KC@SF,KC,SF,,,,,,WR/FLEX
81947-88575,WR,Elijah,Elijah Moore,Moore,5.579999923706055,5,5100,NYJ@DEN,NYJ,DEN,O,Personal,,,,WR/FLEX
